Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.02.2024,1.63369,0.54456,1.63369
02.02.2024,3.1814,1.06046,3.1814
03.02.2024,1.27854,0.42618,1.27854
04.02.2024,1.24943,0.41648,1.24943
05.02.2024,3.03575,1.01192,3.03575
06.02.2024,2.88476,0.96159,2.88476
07.02.2024,1.72246,0.57415,1.72246
08.02.2024,1.33736,0.44579,1.33736
09.02.2024,1.33327,0.44442,1.33327
10.02.2024,1.86548,0.62183,1.86548
11.02.2024,2.06752,0.68917,2.06752
12.02.2024,2.12599,0.70866,2.12599
13.02.2024,3.85585,1.28528,3.85585
14.02.2024,2.18076,0.72692,2.18076
15.02.2024,3.36382,1.12127,3.36382
16.02.2024,3.4664,1.15547,3.4664
17.02.2024,3.66483,1.22161,3.66483
18.02.2024,2.73877,0.91292,2.73877
19.02.2024,1.87242,0.62414,1.87242
20.02.2024,3.6646,1.22153,3.6646
21.02.2024,3.08137,1.02712,3.08137
22.02.2024,1.68697,0.56232,1.68697
23.02.2024,4.19676,1.39892,4.19676
24.02.2024,4.35423,1.45141,4.35423
25.02.2024,5.27355,1.75785,5.27355
26.02.2024,5.31946,1.77315,5.31946
27.02.2024,4.22688,1.40896,4.22688
28.02.2024,6.76764,2.25588,6.76764
29.02.2024,7.59805,2.53268,7.59805
