Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.09.2023,6.57207,2.19069,6.57207
02.09.2023,12.15847,4.05282,12.15847
03.09.2023,11.06437,3.68812,11.06437
04.09.2023,12.40967,4.13656,12.40967
05.09.2023,12.43711,4.1457,12.43711
06.09.2023,12.31313,4.10438,12.31313
07.09.2023,12.01781,4.00594,12.01781
08.09.2023,11.82018,3.94006,11.82018
09.09.2023,11.40995,3.80332,11.40995
10.09.2023,11.65098,3.88366,11.65098
11.09.2023,10.85087,3.61696,10.85087
12.09.2023,9.63711,3.21237,9.63711
13.09.2023,5.1321,1.7107,5.1321
14.09.2023,11.7447,3.9149,11.7447
15.09.2023,10.80222,3.60074,10.80222
16.09.2023,8.40537,2.80179,8.40537
17.09.2023,9.00801,3.00267,9.00801
18.09.2023,5.25104,1.75035,5.25104
19.09.2023,9.82175,3.27392,9.82175
20.09.2023,11.07347,3.69116,11.07347
21.09.2023,4.89268,1.63089,4.89268
22.09.2023,7.69334,2.56445,7.69334
23.09.2023,6.95086,2.31695,6.95086
24.09.2023,10.94335,3.64778,10.94335
25.09.2023,10.64165,3.54722,10.64165
26.09.2023,10.42969,3.47656,10.42969
27.09.2023,9.81995,3.27332,9.81995
28.09.2023,8.90814,2.96938,8.90814
29.09.2023,6.6329,2.21097,6.6329
30.09.2023,8.24114,2.74705,8.24114
