Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.10.2025,9.61926,3.20642,9.61926
02.10.2025,10.6062,3.5354,10.6062
03.10.2025,4.27167,1.42389,4.27167
04.10.2025,2.35991,0.78664,2.35991
05.10.2025,4.43497,1.47832,4.43497
06.10.2025,1.52595,0.50865,1.52595
07.10.2025,4.12728,1.37576,4.12728
08.10.2025,8.4572,2.81907,8.4572
09.10.2025,4.35279,1.45093,4.35279
10.10.2025,1.92084,0.64028,1.92084
11.10.2025,7.52198,2.50733,7.52198
12.10.2025,4.68698,1.56233,4.68698
13.10.2025,2.66798,0.88933,2.66798
14.10.2025,6.03944,2.01315,6.03944
15.10.2025,5.29952,1.76651,5.29952
16.10.2025,1.8178,0.60594,1.8178
17.10.2025,3.59145,1.19715,3.59145
18.10.2025,4.21343,1.40448,4.21343
19.10.2025,3.44469,1.14823,3.44469
20.10.2025,1.76239,0.58746,1.76239
21.10.2025,2.46436,0.82145,2.46436
22.10.2025,2.0367,0.6789,2.0367
23.10.2025,4.63338,1.54446,4.63338
24.10.2025,5.10505,1.70168,5.10505
25.10.2025,3.37303,1.12434,3.37303
26.10.2025,5.05842,1.68614,5.05842
27.10.2025,3.17517,1.05839,3.17517
28.10.2025,4.84131,1.61377,4.84131
29.10.2025,4.00449,1.33483,4.00449
30.10.2025,6.80849,2.2695,6.80849
31.10.2025,3.08372,1.02791,3.08372
