Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.06.2024,4.11001,1.37,4.11001
02.06.2024,7.60678,2.53559,7.60678
03.06.2024,11.5674,3.8558,11.5674
04.06.2024,15.14899,5.04966,15.14899
05.06.2024,10.55731,3.5191,10.55731
06.06.2024,13.92314,4.64105,13.92314
07.06.2024,15.96451,5.3215,15.96451
08.06.2024,14.00966,4.66989,14.00966
09.06.2024,12.71216,4.23739,12.71216
10.06.2024,15.75932,5.2531,15.75932
11.06.2024,12.26637,4.08879,12.26637
12.06.2024,15.55261,5.1842,15.55261
13.06.2024,16.03768,5.34589,16.03768
14.06.2024,4.99484,1.66495,4.99484
15.06.2024,14.4272,4.80907,14.4272
16.06.2024,13.46172,4.48724,13.46172
17.06.2024,8.71905,2.90635,8.71905
18.06.2024,12.66928,4.22309,12.66928
19.06.2024,7.82323,2.60774,7.82323
20.06.2024,8.99935,2.99978,8.99935
21.06.2024,8.3268,2.7756,8.3268
22.06.2024,5.7134,1.90447,5.7134
23.06.2024,10.53581,3.51194,10.53581
24.06.2024,15.02493,5.00831,15.02493
25.06.2024,16.23206,5.41069,16.23206
26.06.2024,13.41029,4.4701,13.41029
27.06.2024,14.51294,4.83764,14.51294
28.06.2024,13.04921,4.34974,13.04921
29.06.2024,12.52787,4.17596,12.52787
30.06.2024,3.04011,1.01337,3.04011
