Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.02.2025,5.15424,1.71808,5.15424
02.02.2025,5.9146,1.97153,5.9146
03.02.2025,1.28982,0.42994,1.28982
04.02.2025,1.74482,0.58161,1.74482
05.02.2025,2.81177,0.93726,2.81177
06.02.2025,0.8703,0.2901,0.8703
07.02.2025,3.43697,1.14566,3.43697
08.02.2025,5.12389,1.70796,5.12389
09.02.2025,3.77546,1.25849,3.77546
10.02.2025,2.55785,0.85262,2.55785
11.02.2025,1.84358,0.61453,1.84358
12.02.2025,0.66195,0.22065,0.66195
13.02.2025,1.63755,0.54585,1.63755
14.02.2025,0.27301,0.091,0.27301
15.02.2025,2.09368,0.69789,2.09368
16.02.2025,2.04909,0.68303,2.04909
17.02.2025,7.38285,2.46095,7.38285
18.02.2025,7.39934,2.46645,7.39934
19.02.2025,4.95286,1.65095,4.95286
20.02.2025,4.23157,1.41052,4.23157
21.02.2025,6.24083,2.08028,6.24083
22.02.2025,2.91816,0.97272,2.91816
23.02.2025,7.28009,2.4267,7.28009
24.02.2025,2.49525,0.83175,2.49525
25.02.2025,1.94902,0.64967,1.94902
26.02.2025,1.86698,0.62233,1.86698
27.02.2025,5.4334,1.81113,5.4334
28.02.2025,2.73753,0.91251,2.73753
