Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.08.2023,12.92391,4.30797,12.92391
02.08.2023,4.16484,1.38828,4.16484
03.08.2023,9.18137,3.06046,9.18137
04.08.2023,8.21529,2.73843,8.21529
05.08.2023,12.02348,4.00783,12.02348
06.08.2023,3.58543,1.19514,3.58543
07.08.2023,8.70924,2.90308,8.70924
08.08.2023,12.75473,4.25158,12.75473
09.08.2023,7.32008,2.44003,7.32008
10.08.2023,13.98883,4.66294,13.98883
11.08.2023,13.49851,4.4995,13.49851
12.08.2023,7.70559,2.56853,7.70559
13.08.2023,9.35153,3.11718,9.35153
14.08.2023,9.33568,3.11189,9.33568
15.08.2023,9.75679,3.25226,9.75679
16.08.2023,11.55132,3.85044,11.55132
17.08.2023,10.73956,3.57985,10.73956
18.08.2023,12.84951,4.28317,12.84951
19.08.2023,6.60371,2.20124,6.60371
20.08.2023,12.44897,4.14966,12.44897
21.08.2023,11.7454,3.91513,11.7454
22.08.2023,11.62662,3.87554,11.62662
23.08.2023,11.82509,3.9417,11.82509
24.08.2023,9.12222,3.04074,9.12222
25.08.2023,6.91024,2.30341,6.91024
26.08.2023,4.97667,1.65889,4.97667
27.08.2023,5.56644,1.85548,5.56644
28.08.2023,5.00628,1.66876,5.00628
29.08.2023,5.40685,1.80228,5.40685
30.08.2023,10.14069,3.38023,10.14069
31.08.2023,6.78083,2.26028,6.78083
