Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.09.2025,5.68896,1.89632,5.68896
02.09.2025,10.82574,3.60858,10.82574
03.09.2025,9.91202,3.30401,9.91202
04.09.2025,4.23484,1.41161,4.23484
05.09.2025,11.38893,3.79631,11.38893
06.09.2025,12.70463,4.23488,12.70463
07.09.2025,12.72787,4.24262,12.72787
08.09.2025,3.63175,1.21058,3.63175
09.09.2025,5.85282,1.95094,5.85282
10.09.2025,8.00921,2.66974,8.00921
11.09.2025,7.34064,2.44688,7.34064
12.09.2025,10.52803,3.50934,10.52803
13.09.2025,8.22177,2.74059,8.22177
14.09.2025,8.04343,2.68114,8.04343
15.09.2025,8.87589,2.95863,8.87589
16.09.2025,6.75196,2.25065,6.75196
17.09.2025,7.42848,2.47616,7.42848
18.09.2025,12.04122,4.01374,12.04122
19.09.2025,11.86973,3.95658,11.86973
20.09.2025,10.93903,3.64634,10.93903
21.09.2025,2.50455,0.83485,2.50455
22.09.2025,1.39045,0.46348,1.39045
23.09.2025,1.45921,0.4864,1.45921
24.09.2025,0.32319,0.10773,0.32319
25.09.2025,1.41572,0.47191,1.41572
26.09.2025,1.2958,0.43193,1.2958
27.09.2025,5.29866,1.76622,5.29866
28.09.2025,3.39805,1.13268,3.39805
29.09.2025,7.58209,2.52736,7.58209
30.09.2025,7.0004,2.33347,7.0004
