Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.11.2023,2.97674,0.99225,2.97674
02.11.2023,0.35018,0.11673,0.35018
03.11.2023,1.56353,0.52118,1.56353
04.11.2023,1.70758,0.56919,1.70758
05.11.2023,1.02429,0.34143,1.02429
06.11.2023,1.60091,0.53364,1.60091
07.11.2023,2.00422,0.66807,2.00422
08.11.2023,2.36463,0.78821,2.36463
09.11.2023,1.07728,0.35909,1.07728
10.11.2023,2.87402,0.95801,2.87402
11.11.2023,3.46369,1.15456,3.46369
12.11.2023,1.70471,0.56824,1.70471
13.11.2023,0.24694,0.08231,0.24694
14.11.2023,1.4478,0.4826,1.4478
15.11.2023,2.27719,0.75906,2.27719
16.11.2023,0.60861,0.20287,0.60861
17.11.2023,0.98424,0.32808,0.98424
18.11.2023,1.05548,0.35183,1.05548
19.11.2023,2.98453,0.99484,2.98453
20.11.2023,2.18252,0.72751,2.18252
21.11.2023,1.47353,0.49118,1.47353
22.11.2023,1.66769,0.5559,1.66769
23.11.2023,0.67748,0.22583,0.67748
24.11.2023,1.14414,0.38138,1.14414
25.11.2023,0.84615,0.28205,0.84615
26.11.2023,1.26937,0.42312,1.26937
27.11.2023,0.57743,0.19248,0.57743
28.11.2023,0.23073,0.07691,0.23073
29.11.2023,1.36125,0.45375,1.36125
30.11.2023,1.64447,0.54816,1.64447
