Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.06.2025,12.35067,4.11689,12.35067
02.06.2025,6.75379,2.25126,6.75379
03.06.2025,11.30157,3.76719,11.30157
04.06.2025,3.33172,1.11057,3.33172
05.06.2025,10.34456,3.44819,10.34456
06.06.2025,6.81905,2.27302,6.81905
07.06.2025,9.13762,3.04587,9.13762
08.06.2025,9.96222,3.32074,9.96222
09.06.2025,14.41861,4.8062,14.41861
10.06.2025,12.99833,4.33278,12.99833
11.06.2025,15.76954,5.25651,15.76954
12.06.2025,15.87368,5.29123,15.87368
13.06.2025,14.65221,4.88407,14.65221
14.06.2025,14.52639,4.84213,14.52639
15.06.2025,7.4113,2.47043,7.4113
16.06.2025,14.80856,4.93619,14.80856
17.06.2025,14.77863,4.92621,14.77863
18.06.2025,14.95337,4.98446,14.95337
19.06.2025,15.23426,5.07809,15.23426
20.06.2025,15.71318,5.23773,15.71318
21.06.2025,15.44199,5.14733,15.44199
22.06.2025,15.46375,5.15458,15.46375
23.06.2025,10.19881,3.3996,10.19881
24.06.2025,16.15362,5.38454,16.15362
25.06.2025,14.48806,4.82935,14.48806
26.06.2025,13.23999,4.41333,13.23999
27.06.2025,7.38177,2.46059,7.38177
28.06.2025,14.64922,4.88307,14.64922
29.06.2025,15.0845,5.02817,15.0845
30.06.2025,14.6286,4.8762,14.6286
