Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-12-01 00:00:00,0.38522,0.12841,0.38522
2022-12-02 00:00:00,0.09278,0.03093,0.09278
2022-12-03 00:00:00,0.86284,0.28761,0.86284
2022-12-04 00:00:00,0.05759,0.0192,0.05759
2022-12-05 00:00:00,0.62428,0.20809,0.62428
2022-12-06 00:00:00,0.78557,0.26186,0.78557
2022-12-07 00:00:00,1.16677,0.38892,1.16677
2022-12-08 00:00:00,1.46447,0.48816,1.46447
2022-12-09 00:00:00,1.58722,0.52907,1.58722
2022-12-10 00:00:00,1.33262,0.44421,1.33262
2022-12-11 00:00:00,1.49943,0.49981,1.49943
2022-12-12 00:00:00,3.1046,1.03487,3.1046
2022-12-13 00:00:00,1.84455,0.61485,1.84455
2022-12-14 00:00:00,0.00808,0.00269,0.00808
2022-12-15 00:00:00,0.00254,0.00085,0.00254
2022-12-16 00:00:00,0.0228,0.0076,0.0228
2022-12-17 00:00:00,0.6064,0.20213,0.6064
2022-12-18 00:00:00,1.22815,0.40938,1.22815
2022-12-19 00:00:00,0.2642,0.08807,0.2642
2022-12-20 00:00:00,0.51125,0.17042,0.51125
2022-12-21 00:00:00,0.78432,0.26144,0.78432
2022-12-22 00:00:00,0.49907,0.16636,0.49907
2022-12-23 00:00:00,0.27849,0.09283,0.27849
2022-12-24 00:00:00,1.77243,0.59081,1.77243
2022-12-25 00:00:00,2.33864,0.77955,2.33864
2022-12-26 00:00:00,0.64105,0.21368,0.64105
2022-12-27 00:00:00,1.44347,0.48116,1.44347
2022-12-28 00:00:00,1.6555,0.55183,1.6555
2022-12-29 00:00:00,1.40242,0.46747,1.40242
2022-12-30 00:00:00,1.28486,0.42829,1.28486
2022-12-31 00:00:00,2.48049,0.82683,2.48049
