Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.03.2023,9.05751,3.01917,9.05751
02.03.2023,8.64311,2.88104,8.64311
03.03.2023,8.65725,2.88575,8.65725
04.03.2023,1.84332,0.61444,1.84332
05.03.2023,1.57317,0.52439,1.57317
06.03.2023,1.7467,0.58223,1.7467
07.03.2023,5.23426,1.74475,5.23426
08.03.2023,1.52105,0.50702,1.52105
09.03.2023,4.70743,1.56914,4.70743
10.03.2023,2.65844,0.88615,2.65844
11.03.2023,7.22206,2.40735,7.22206
12.03.2023,4.96392,1.65464,4.96392
13.03.2023,7.22506,2.40835,7.22506
14.03.2023,4.56427,1.52142,4.56427
15.03.2023,5.10799,1.70266,5.10799
16.03.2023,8.85226,2.95075,8.85226
17.03.2023,6.23335,2.07778,6.23335
18.03.2023,8.96296,2.98765,8.96296
19.03.2023,7.32656,2.44219,7.32656
20.03.2023,6.83831,2.27944,6.83831
21.03.2023,5.59625,1.86542,5.59625
22.03.2023,9.10603,3.03534,9.10603
23.03.2023,2.12073,0.70691,2.12073
24.03.2023,4.96299,1.65433,4.96299
25.03.2023,10.90576,3.63525,10.90576
26.03.2023,6.67991,2.22664,6.67991
27.03.2023,8.0523,2.6841,8.0523
28.03.2023,10.85833,3.61944,10.85833
29.03.2023,8.31594,2.77198,8.31594
30.03.2023,8.53799,2.846,8.53799
31.03.2023,6.13462,2.04487,6.13462
