Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.06.2023,14.99371,4.9979,14.99371
02.06.2023,15.77346,5.25782,15.77346
03.06.2023,15.25762,5.08587,15.25762
04.06.2023,15.56107,5.18702,15.56107
05.06.2023,14.66729,4.8891,14.66729
06.06.2023,13.81814,4.60605,13.81814
07.06.2023,14.36764,4.78921,14.36764
08.06.2023,12.99596,4.33199,12.99596
09.06.2023,14.10313,4.70104,14.10313
10.06.2023,13.36733,4.45578,13.36733
11.06.2023,15.3826,5.12753,15.3826
12.06.2023,14.46709,4.82236,14.46709
13.06.2023,16.19148,5.39716,16.19148
14.06.2023,13.08585,4.36195,13.08585
15.06.2023,14.64741,4.88247,14.64741
16.06.2023,13.71154,4.57051,13.71154
17.06.2023,14.85841,4.9528,14.85841
18.06.2023,14.04538,4.68179,14.04538
19.06.2023,11.46157,3.82052,11.46157
20.06.2023,14.07029,4.6901,14.07029
21.06.2023,11.30402,3.76801,11.30402
22.06.2023,10.01883,3.33961,10.01883
23.06.2023,10.96497,3.65499,10.96497
24.06.2023,14.26559,4.7552,14.26559
25.06.2023,15.48446,5.16149,15.48446
26.06.2023,13.63925,4.54642,13.63925
27.06.2023,11.6551,3.88503,11.6551
28.06.2023,12.51264,4.17088,12.51264
29.06.2023,8.21581,2.7386,8.21581
30.06.2023,5.14997,1.71666,5.14997
