Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.11.2024,0.58835,0.19612,0.58835
02.11.2024,1.26694,0.42231,1.26694
03.11.2024,3.5878,1.19593,3.5878
04.11.2024,3.16659,1.05553,3.16659
05.11.2024,1.23066,0.41022,1.23066
06.11.2024,0.87054,0.29018,0.87054
07.11.2024,1.15572,0.38524,1.15572
08.11.2024,0.44734,0.14911,0.44734
09.11.2024,3.98043,1.32681,3.98043
10.11.2024,0.65698,0.21899,0.65698
11.11.2024,0.45138,0.15046,0.45138
12.11.2024,0.73845,0.24615,0.73845
13.11.2024,0.58963,0.19654,0.58963
14.11.2024,0.6161,0.20537,0.6161
15.11.2024,1.03433,0.34478,1.03433
16.11.2024,1.77378,0.59126,1.77378
17.11.2024,0.43295,0.14432,0.43295
18.11.2024,0.38427,0.12809,0.38427
19.11.2024,0.54178,0.18059,0.54178
20.11.2024,4.38313,1.46104,4.38313
21.11.2024,1.89358,0.63119,1.89358
22.11.2024,1.82739,0.60913,1.82739
23.11.2024,1.92594,0.64198,1.92594
24.11.2024,2.38363,0.79454,2.38363
25.11.2024,0.71559,0.23853,0.71559
26.11.2024,1.11738,0.37246,1.11738
27.11.2024,2.87724,0.95908,2.87724
28.11.2024,2.77421,0.92474,2.77421
29.11.2024,4.60847,1.53616,4.60847
30.11.2024,1.60803,0.53601,1.60803
