Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-11-01 00:00:00,5.1909,1.7303,5.1909
2022-11-02 00:00:00,5.97858,1.99286,5.97858
2022-11-03 00:00:00,2.27666,0.75889,2.27666
2022-11-04 00:00:00,2.69221,0.8974,2.69221
2022-11-05 00:00:00,4.12421,1.37474,4.12421
2022-11-06 00:00:00,3.31372,1.10457,3.31372
2022-11-07 00:00:00,2.53797,0.84599,2.53797
2022-11-08 00:00:00,4.08878,1.36293,4.08878
2022-11-09 00:00:00,2.45652,0.81884,2.45652
2022-11-10 00:00:00,5.85973,1.95324,5.85973
2022-11-11 00:00:00,1.39966,0.46655,1.39966
2022-11-12 00:00:00,0.86469,0.28823,0.86469
2022-11-13 00:00:00,4.94428,1.64809,4.94428
2022-11-14 00:00:00,0.83977,0.27992,0.83977
2022-11-15 00:00:00,1.52454,0.50818,1.52454
2022-11-16 00:00:00,4.11958,1.37319,4.11958
2022-11-17 00:00:00,1.32085,0.44028,1.32085
2022-11-18 00:00:00,1.32524,0.44175,1.32524
2022-11-19 00:00:00,0.277,0.09233,0.277
2022-11-20 00:00:00,1.77705,0.59235,1.77705
2022-11-21 00:00:00,4.09223,1.36408,4.09223
2022-11-22 00:00:00,1.8102,0.6034,1.8102
2022-11-23 00:00:00,5.12889,1.70963,5.12889
2022-11-24 00:00:00,3.81264,1.27088,3.81264
2022-11-25 00:00:00,1.54804,0.51601,1.54804
2022-11-26 00:00:00,3.10169,1.0339,3.10169
2022-11-27 00:00:00,2.06699,0.689,2.06699
2022-11-28 00:00:00,0.99151,0.3305,0.99151
2022-11-29 00:00:00,0.6759,0.2253,0.6759
2022-11-30 00:00:00,1.12606,0.37535,1.12606
