Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.12.2023,0.15863,0.05288,0.15863
02.12.2023,0,0,0
03.12.2023,2.79086,0.93029,2.79086
04.12.2023,0.42557,0.14186,0.42557
05.12.2023,0.86109,0.28703,0.86109
06.12.2023,0.32601,0.10867,0.32601
07.12.2023,3.05229,1.01743,3.05229
08.12.2023,0.24193,0.08064,0.24193
09.12.2023,0.84967,0.28322,0.84967
10.12.2023,0.69876,0.23292,0.69876
11.12.2023,1.32277,0.44092,1.32277
12.12.2023,0.23459,0.0782,0.23459
13.12.2023,1.03538,0.34513,1.03538
14.12.2023,0.521,0.17366,0.521
15.12.2023,0.7063,0.23543,0.7063
16.12.2023,3.6531,1.2177,3.6531
17.12.2023,3.91351,1.3045,3.91351
18.12.2023,4.45652,1.48551,4.45652
19.12.2023,1.49518,0.49839,1.49518
20.12.2023,0.46297,0.15432,0.46297
21.12.2023,0.21225,0.07075,0.21225
22.12.2023,0.20128,0.06709,0.20128
23.12.2023,0.4416,0.1472,0.4416
24.12.2023,0.3731,0.12437,0.3731
25.12.2023,0.56854,0.18951,0.56854
26.12.2023,0.34893,0.11631,0.34893
27.12.2023,1.42563,0.47521,1.42563
28.12.2023,0.15027,0.05009,0.15027
29.12.2023,2.16578,0.72193,2.16578
30.12.2023,1.70047,0.56682,1.70047
31.12.2023,0.36504,0.12168,0.36504
