Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-10-01 00:00:00,2.54493,0.84831,2.54493
2022-10-02 00:00:00,0.90632,0.30211,0.90632
2022-10-03 00:00:00,7.42508,2.47503,7.42508
2022-10-04 00:00:00,10.08923,3.36308,10.08923
2022-10-05 00:00:00,10.21064,3.40355,10.21064
2022-10-06 00:00:00,9.20775,3.06925,9.20775
2022-10-07 00:00:00,6.83005,2.27668,6.83005
2022-10-08 00:00:00,6.65663,2.21888,6.65663
2022-10-09 00:00:00,9.96552,3.32184,9.96552
2022-10-10 00:00:00,8.21949,2.73983,8.21949
2022-10-11 00:00:00,7.14477,2.38159,7.14477
2022-10-12 00:00:00,8.6593,2.88643,8.6593
2022-10-13 00:00:00,3.25147,1.08382,3.25147
2022-10-14 00:00:00,2.18892,0.72964,2.18892
2022-10-15 00:00:00,2.3421,0.7807,2.3421
2022-10-16 00:00:00,3.86229,1.28743,3.86229
2022-10-17 00:00:00,7.36218,2.45406,7.36218
2022-10-18 00:00:00,4.17849,1.39283,4.17849
2022-10-19 00:00:00,2.95726,0.98575,2.95726
2022-10-20 00:00:00,2.12846,0.70949,2.12846
2022-10-21 00:00:00,2.28508,0.76169,2.28508
2022-10-22 00:00:00,7.06253,2.35418,7.06253
2022-10-23 00:00:00,4.4058,1.4686,4.4058
2022-10-24 00:00:00,4.63586,1.54529,4.63586
2022-10-25 00:00:00,5.57604,1.85868,5.57604
2022-10-26 00:00:00,5.63015,1.87672,5.63015
2022-10-27 00:00:00,6.44862,2.14954,6.44862
2022-10-28 00:00:00,4.05914,1.35305,4.05914
2022-10-29 00:00:00,4.93145,1.64382,4.93145
2022-10-30 00:00:00,4.604,1.53467,4.604
2022-10-31 00:00:00,3.52827,1.17609,3.52827
