Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.04.2023,4.16302,1.38767,4.16302
02.04.2023,3.97726,1.32575,3.97726
03.04.2023,9.02765,3.00922,9.02765
04.04.2023,14.37581,4.79194,14.37581
05.04.2023,14.1516,4.7172,14.1516
06.04.2023,10.81727,3.60576,10.81727
07.04.2023,7.22362,2.40787,7.22362
08.04.2023,8.40214,2.80071,8.40214
09.04.2023,9.49153,3.16384,9.49153
10.04.2023,10.93402,3.64467,10.93402
11.04.2023,11.059,3.68633,11.059
12.04.2023,4.15999,1.38666,4.15999
13.04.2023,9.34005,3.11335,9.34005
14.04.2023,14.0968,4.69893,14.0968
15.04.2023,8.40389,2.8013,8.40389
16.04.2023,1.33039,0.44346,1.33039
17.04.2023,3.58124,1.19375,3.58124
18.04.2023,7.27432,2.42477,7.27432
19.04.2023,4.61958,1.53986,4.61958
20.04.2023,5.16364,1.72121,5.16364
21.04.2023,13.52133,4.50711,13.52133
22.04.2023,9.95091,3.31697,9.95091
23.04.2023,11.50745,3.83582,11.50745
24.04.2023,7.31719,2.43906,7.31719
25.04.2023,5.27345,1.75782,5.27345
26.04.2023,13.95302,4.65101,13.95302
27.04.2023,12.54092,4.18031,12.54092
28.04.2023,4.51553,1.50518,4.51553
29.04.2023,4.37996,1.45999,4.37996
30.04.2023,9.42576,3.14192,9.42576
