Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.05.2025,13.49525,4.49842,13.49525
02.05.2025,13.27158,4.42386,13.27158
03.05.2025,7.39012,2.46337,7.39012
04.05.2025,8.86457,2.95486,8.86457
05.05.2025,9.60304,3.20101,9.60304
06.05.2025,11.89881,3.96627,11.89881
07.05.2025,10.12575,3.37525,10.12575
08.05.2025,10.55887,3.51962,10.55887
09.05.2025,14.79709,4.93236,14.79709
10.05.2025,14.83296,4.94432,14.83296
11.05.2025,14.45367,4.81789,14.45367
12.05.2025,14.34251,4.78084,14.34251
13.05.2025,14.02839,4.67613,14.02839
14.05.2025,14.2828,4.76093,14.2828
15.05.2025,14.80583,4.93528,14.80583
16.05.2025,13.26483,4.42161,13.26483
17.05.2025,10.29781,3.4326,10.29781
18.05.2025,10.04529,3.34843,10.04529
19.05.2025,14.7305,4.91017,14.7305
20.05.2025,13.19293,4.39764,13.19293
21.05.2025,8.57395,2.85798,8.57395
22.05.2025,11.64288,3.88096,11.64288
23.05.2025,11.4838,3.82793,11.4838
24.05.2025,12.32848,4.10949,12.32848
25.05.2025,5.91912,1.97304,5.91912
26.05.2025,11.07549,3.69183,11.07549
27.05.2025,11.21279,3.7376,11.21279
28.05.2025,4.43343,1.47781,4.43343
29.05.2025,10.14781,3.3826,10.14781
30.05.2025,15.15049,5.05016,15.15049
31.05.2025,13.2179,4.40597,13.2179
