Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-08-01 00:00:00,9.63919,3.21306,9.63919
2022-08-02 00:00:00,15.17082,5.05694,15.17082
2022-08-03 00:00:00,14.6664,4.8888,14.6664
2022-08-04 00:00:00,14.42876,4.80959,14.42876
2022-08-05 00:00:00,11.4894,3.8298,11.4894
2022-08-06 00:00:00,15.76896,5.25632,15.76896
2022-08-07 00:00:00,15.35819,5.1194,15.35819
2022-08-08 00:00:00,14.89482,4.96494,14.89482
2022-08-09 00:00:00,14.89911,4.96637,14.89911
2022-08-10 00:00:00,14.46313,4.82104,14.46313
2022-08-11 00:00:00,14.74044,4.91348,14.74044
2022-08-12 00:00:00,14.51187,4.83729,14.51187
2022-08-13 00:00:00,14.61598,4.87199,14.61598
2022-08-14 00:00:00,13.35696,4.45232,13.35696
2022-08-15 00:00:00,11.3179,3.77263,11.3179
2022-08-16 00:00:00,13.86077,4.62026,13.86077
2022-08-17 00:00:00,6.93663,2.31221,6.93663
2022-08-18 00:00:00,9.1923,3.0641,9.1923
2022-08-19 00:00:00,11.2589,3.75297,11.2589
2022-08-20 00:00:00,11.57734,3.85911,11.57734
2022-08-21 00:00:00,14.15532,4.71844,14.15532
2022-08-22 00:00:00,14.07659,4.6922,14.07659
2022-08-23 00:00:00,13.74983,4.58328,13.74983
2022-08-24 00:00:00,13.52043,4.50681,13.52043
2022-08-25 00:00:00,12.27041,4.09014,12.27041
2022-08-26 00:00:00,11.96834,3.98945,11.96834
2022-08-27 00:00:00,4.00024,1.33341,4.00024
2022-08-28 00:00:00,11.11584,3.70528,11.11584
2022-08-29 00:00:00,13.61,4.53667,13.61
2022-08-30 00:00:00,13.19136,4.39712,13.19136
2022-08-31 00:00:00,4.62856,1.54286,4.62856
