Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.09.2024,11.38377,3.79459,11.38377
02.09.2024,9.39407,3.13136,9.39407
03.09.2024,10.08175,3.36058,10.08175
04.09.2024,7.29009,2.43003,7.29009
05.09.2024,9.76188,3.25396,9.76188
06.09.2024,8.24165,2.74722,8.24165
07.09.2024,11.82477,3.94159,11.82477
08.09.2024,2.29063,0.76354,2.29063
09.09.2024,5.70658,1.90219,5.70658
10.09.2024,7.93315,2.64438,7.93315
11.09.2024,1.68867,0.56289,1.68867
12.09.2024,11.44794,3.81598,11.44794
13.09.2024,7.5722,2.52407,7.5722
14.09.2024,6.38183,2.12728,6.38183
15.09.2024,10.17804,3.39268,10.17804
16.09.2024,2.77987,0.92662,2.77987
17.09.2024,3.03719,1.0124,3.03719
18.09.2024,9.73708,3.24569,9.73708
19.09.2024,10.45863,3.48621,10.45863
20.09.2024,10.73123,3.57708,10.73123
21.09.2024,10.65209,3.5507,10.65209
22.09.2024,6.41897,2.13966,6.41897
23.09.2024,3.40103,1.13368,3.40103
24.09.2024,3.96403,1.32134,3.96403
25.09.2024,4.3377,1.4459,4.3377
26.09.2024,1.56427,0.52142,1.56427
27.09.2024,5.48451,1.82817,5.48451
28.09.2024,7.59873,2.53291,7.59873
29.09.2024,6.77715,2.25905,6.77715
30.09.2024,4.0863,1.3621,4.0863
