Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.02.2023,0.57763,0.19254,0.57763
02.02.2023,0.81995,0.27332,0.81995
03.02.2023,1.10634,0.36878,1.10634
04.02.2023,5.00194,1.66731,5.00194
05.02.2023,0.31689,0.10563,0.31689
06.02.2023,2.41497,0.80499,2.41497
07.02.2023,6.92314,2.30771,6.92314
08.02.2023,7.04231,2.34744,7.04231
09.02.2023,6.72344,2.24115,6.72344
10.02.2023,6.19163,2.06388,6.19163
11.02.2023,5.03879,1.6796,5.03879
12.02.2023,4.50608,1.50203,4.50608
13.02.2023,7.32511,2.4417,7.32511
14.02.2023,4.67122,1.55707,4.67122
15.02.2023,2.54731,0.8491,2.54731
16.02.2023,4.5079,1.50263,4.5079
17.02.2023,1.9686,0.6562,1.9686
18.02.2023,4.95643,1.65214,4.95643
19.02.2023,2.68065,0.89355,2.68065
20.02.2023,7.98874,2.66291,7.98874
21.02.2023,7.97656,2.65885,7.97656
22.02.2023,5.66069,1.8869,5.66069
23.02.2023,3.96394,1.32131,3.96394
24.02.2023,4.94636,1.64879,4.94636
25.02.2023,3.20823,1.06941,3.20823
26.02.2023,3.05627,1.01876,3.05627
27.02.2023,8.71218,2.90406,8.71218
28.02.2023,6.20407,2.06802,6.20407
