Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.08.2025,11.0741,3.69137,11.0741
02.08.2025,11.56129,3.85376,11.56129
03.08.2025,7.42243,2.47414,7.42243
04.08.2025,7.17958,2.39319,7.17958
05.08.2025,10.50055,3.50018,10.50055
06.08.2025,13.51907,4.50636,13.51907
07.08.2025,13.67544,4.55848,13.67544
08.08.2025,12.26149,4.08716,12.26149
09.08.2025,14.41146,4.80382,14.41146
10.08.2025,15.16284,5.05428,15.16284
11.08.2025,14.67548,4.89183,14.67548
12.08.2025,13.55658,4.51886,13.55658
13.08.2025,13.5722,4.52407,13.5722
14.08.2025,13.66965,4.55655,13.66965
15.08.2025,10.15598,3.38533,10.15598
16.08.2025,12.87059,4.2902,12.87059
17.08.2025,14.75042,4.91681,14.75042
18.08.2025,14.33807,4.77936,14.33807
19.08.2025,13.83203,4.61068,13.83203
20.08.2025,8.92455,2.97485,8.92455
21.08.2025,11.98998,3.99666,11.98998
22.08.2025,12.89952,4.29984,12.89952
23.08.2025,8.932,2.97733,8.932
24.08.2025,14.27894,4.75965,14.27894
25.08.2025,13.99207,4.66402,13.99207
26.08.2025,12.6336,4.2112,12.6336
27.08.2025,9.7686,3.2562,9.7686
28.08.2025,3.87095,1.29032,3.87095
29.08.2025,13.17091,4.3903,13.17091
30.08.2025,10.24254,3.41418,10.24254
31.08.2025,12.40863,4.13621,12.40863
