Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.05.2023,6.76621,2.2554,6.76621
02.05.2023,13.34383,4.44794,13.34383
03.05.2023,13.88702,4.62901,13.88702
04.05.2023,14.43852,4.81284,14.43852
05.05.2023,7.98387,2.66129,7.98387
06.05.2023,13.71868,4.57289,13.71868
07.05.2023,10.31245,3.43748,10.31245
08.05.2023,5.95576,1.98525,5.95576
09.05.2023,5.29886,1.76629,5.29886
10.05.2023,8.95949,2.9865,8.95949
11.05.2023,7.16781,2.38927,7.16781
12.05.2023,5.16652,1.72217,5.16652
13.05.2023,12.0112,4.00373,12.0112
14.05.2023,11.90751,3.96917,11.90751
15.05.2023,11.80439,3.9348,11.80439
16.05.2023,6.52919,2.1764,6.52919
17.05.2023,11.843,3.94767,11.843
18.05.2023,14.54418,4.84806,14.54418
19.05.2023,11.04347,3.68116,11.04347
20.05.2023,10.83156,3.61052,10.83156
21.05.2023,13.54957,4.51652,13.54957
22.05.2023,13.12012,4.37337,13.12012
23.05.2023,8.79431,2.93144,8.79431
24.05.2023,16.039,5.34633,16.039
25.05.2023,14.89763,4.96588,14.89763
26.05.2023,15.21916,5.07305,15.21916
27.05.2023,14.95627,4.98542,14.95627
28.05.2023,15.25361,5.08454,15.25361
29.05.2023,15.15137,5.05046,15.15137
30.05.2023,15.45694,5.15231,15.45694
31.05.2023,15.58536,5.19512,15.58536
