Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.03.2025,5.2202,1.74007,5.2202
02.03.2025,9.08146,3.02715,9.08146
03.03.2025,9.55498,3.18499,9.55498
04.03.2025,9.52014,3.17338,9.52014
05.03.2025,9.31094,3.10365,9.31094
06.03.2025,9.17283,3.05761,9.17283
07.03.2025,9.11485,3.03828,9.11485
08.03.2025,8.97769,2.99256,8.97769
09.03.2025,8.50067,2.83356,8.50067
10.03.2025,3.05656,1.01885,3.05656
11.03.2025,9.02079,3.00693,9.02079
12.03.2025,1.79558,0.59853,1.79558
13.03.2025,1.18585,0.39528,1.18585
14.03.2025,1.52762,0.50921,1.52762
15.03.2025,5.73959,1.9132,5.73959
16.03.2025,6.22349,2.0745,6.22349
17.03.2025,6.67261,2.2242,6.67261
18.03.2025,11.6295,3.8765,11.6295
19.03.2025,11.25641,3.75214,11.25641
20.03.2025,10.6377,3.5459,10.6377
21.03.2025,7.91658,2.63886,7.91658
22.03.2025,9.18792,3.06264,9.18792
23.03.2025,6.61846,2.20615,6.61846
24.03.2025,8.46459,2.82153,8.46459
25.03.2025,8.95549,2.98516,8.95549
26.03.2025,1.89564,0.63188,1.89564
27.03.2025,10.85525,3.61842,10.85525
28.03.2025,11.81919,3.93973,11.81919
29.03.2025,4.04754,1.34918,4.04754
30.03.2025,5.41071,1.80357,5.41071
31.03.2025,7.20225,2.40075,7.20225
