Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.07.2024,6.94515,2.31505,6.94515
02.07.2024,5.92619,1.9754,5.92619
03.07.2024,5.15129,1.7171,5.15129
04.07.2024,9.55219,3.18406,9.55219
05.07.2024,12.6549,4.2183,12.6549
06.07.2024,4.92713,1.64238,4.92713
07.07.2024,16.55766,5.51922,16.55766
08.07.2024,15.90228,5.30076,15.90228
09.07.2024,15.37459,5.12486,15.37459
10.07.2024,9.09903,3.03301,9.09903
11.07.2024,14.50517,4.83506,14.50517
12.07.2024,8.23726,2.74575,8.23726
13.07.2024,11.86491,3.95497,11.86491
14.07.2024,12.77195,4.25732,12.77195
15.07.2024,14.11387,4.70462,14.11387
16.07.2024,12.80492,4.26831,12.80492
17.07.2024,10.65628,3.55209,10.65628
18.07.2024,14.8641,4.9547,14.8641
19.07.2024,14.82057,4.94019,14.82057
20.07.2024,14.55606,4.85202,14.55606
21.07.2024,11.2066,3.73553,11.2066
22.07.2024,15.34995,5.11665,15.34995
23.07.2024,7.90525,2.63508,7.90525
24.07.2024,11.95144,3.98381,11.95144
25.07.2024,12.72202,4.24067,12.72202
26.07.2024,9.67211,3.22404,9.67211
27.07.2024,6.21776,2.07259,6.21776
28.07.2024,13.53102,4.51034,13.53102
29.07.2024,15.14084,5.04695,15.14084
30.07.2024,13.67255,4.55752,13.67255
31.07.2024,11.21441,3.73814,11.21441
