Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2023-01-01 00:00:00,1.26186,0.42062,1.26186
2023-01-02 00:00:00,1.46282,0.48761,1.46282
2023-01-03 00:00:00,2.89776,0.96592,2.89776
2023-01-04 00:00:00,0.54079,0.18026,0.54079
2023-01-05 00:00:00,0.56895,0.18965,0.56895
2023-01-06 00:00:00,1.30176,0.43392,1.30176
2023-01-07 00:00:00,3.06394,1.02131,3.06394
2023-01-08 00:00:00,1.30834,0.43611,1.30834
2023-01-09 00:00:00,1.5017,0.50057,1.5017
2023-01-10 00:00:00,1.90013,0.63338,1.90013
2023-01-11 00:00:00,0.38752,0.12917,0.38752
2023-01-12 00:00:00,1.37943,0.45981,1.37943
2023-01-13 00:00:00,2.8683,0.9561,2.8683
2023-01-14 00:00:00,0.63895,0.21298,0.63895
2023-01-15 00:00:00,2.29359,0.76453,2.29359
2023-01-16 00:00:00,1.1343,0.3781,1.1343
2023-01-17 00:00:00,2.56155,0.85385,2.56155
2023-01-18 00:00:00,3.29002,1.09667,3.29002
2023-01-19 00:00:00,2.23427,0.74476,2.23427
2023-01-20 00:00:00,3.44284,1.14761,3.44284
2023-01-21 00:00:00,0.09204,0.03068,0.09204
2023-01-22 00:00:00,0.01986,0.00662,0.01986
2023-01-23 00:00:00,1.00479,0.33493,1.00479
2023-01-24 00:00:00,0.61951,0.2065,0.61951
2023-01-25 00:00:00,0.19215,0.06405,0.19215
2023-01-26 00:00:00,0.3384,0.1128,0.3384
2023-01-27 00:00:00,0.70003,0.23334,0.70003
2023-01-28 00:00:00,0.51217,0.17072,0.51217
2023-01-29 00:00:00,4.05243,1.35081,4.05243
2023-01-30 00:00:00,0.99932,0.33311,0.99932
2023-01-31 00:00:00,1.46029,0.48676,1.46029
