Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.12.2024,0.70757,0.23586,0.70757
02.12.2024,0.61095,0.20365,0.61095
03.12.2024,0.43526,0.14509,0.43526
04.12.2024,1.25767,0.41922,1.25767
05.12.2024,1.23072,0.41024,1.23072
06.12.2024,0.49316,0.16439,0.49316
07.12.2024,0.30823,0.10274,0.30823
08.12.2024,1.61355,0.53785,1.61355
09.12.2024,0.3562,0.11873,0.3562
10.12.2024,0.5248,0.17493,0.5248
11.12.2024,0.64475,0.21492,0.64475
12.12.2024,0.15705,0.05235,0.15705
13.12.2024,0.7286,0.24287,0.7286
14.12.2024,0.81811,0.2727,0.81811
15.12.2024,0.74742,0.24914,0.74742
16.12.2024,2.14591,0.7153,2.14591
17.12.2024,0.75606,0.25202,0.75606
18.12.2024,3.00636,1.00212,3.00636
19.12.2024,0.82379,0.2746,0.82379
20.12.2024,1.23504,0.41168,1.23504
21.12.2024,0.88489,0.29496,0.88489
22.12.2024,1.03658,0.34553,1.03658
23.12.2024,0.87603,0.29201,0.87603
24.12.2024,1.76971,0.5899,1.76971
25.12.2024,2.05564,0.68521,2.05564
26.12.2024,4.09538,1.36513,4.09538
27.12.2024,3.70703,1.23568,3.70703
28.12.2024,0.41928,0.13976,0.41928
29.12.2024,0.20626,0.06875,0.20626
30.12.2024,0.15405,0.05135,0.15405
31.12.2024,0.79901,0.26634,0.79901
