Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.10.2023,9.21419,3.0714,9.21419
02.10.2023,8.76817,2.92272,8.76817
03.10.2023,4.84591,1.6153,4.84591
04.10.2023,7.16101,2.387,7.16101
05.10.2023,4.06657,1.35552,4.06657
06.10.2023,7.52575,2.50858,7.52575
07.10.2023,5.87962,1.95987,5.87962
08.10.2023,7.75817,2.58606,7.75817
09.10.2023,4.71594,1.57198,4.71594
10.10.2023,6.43893,2.14631,6.43893
11.10.2023,8.15414,2.71805,8.15414
12.10.2023,2.32404,0.77468,2.32404
13.10.2023,7.56286,2.52095,7.56286
14.10.2023,3.6951,1.2317,3.6951
15.10.2023,6.75778,2.25259,6.75778
16.10.2023,7.8969,2.6323,7.8969
17.10.2023,4.54164,1.51388,4.54164
18.10.2023,2.3984,0.79947,2.3984
19.10.2023,1.63268,0.54423,1.63268
20.10.2023,3.02284,1.00761,3.02284
21.10.2023,5.79258,1.93086,5.79258
22.10.2023,5.25701,1.75234,5.25701
23.10.2023,1.67878,0.55959,1.67878
24.10.2023,0.94691,0.31564,0.94691
25.10.2023,1.28975,0.42992,1.28975
26.10.2023,1.69092,0.56364,1.69092
27.10.2023,2.76073,0.92024,2.76073
28.10.2023,1.76268,0.58756,1.76268
29.10.2023,1.74463,0.58154,1.74463
30.10.2023,1.95652,0.65217,1.95652
31.10.2023,3.36509,1.1217,3.36509
