Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.07.2025,14.45262,4.81754,14.45262
02.07.2025,13.53017,4.51006,13.53017
03.07.2025,10.01979,3.33993,10.01979
04.07.2025,15.68812,5.22937,15.68812
05.07.2025,15.32634,5.10878,15.32634
06.07.2025,6.76789,2.25596,6.76789
07.07.2025,7.41303,2.47101,7.41303
08.07.2025,10.79991,3.59997,10.79991
09.07.2025,10.72401,3.57467,10.72401
10.07.2025,15.55585,5.18528,15.55585
11.07.2025,13.81199,4.604,13.81199
12.07.2025,12.42497,4.14166,12.42497
13.07.2025,14.81749,4.93916,14.81749
14.07.2025,9.57558,3.19186,9.57558
15.07.2025,12.93361,4.3112,12.93361
16.07.2025,7.5221,2.50737,7.5221
17.07.2025,10.47107,3.49036,10.47107
18.07.2025,14.67053,4.89018,14.67053
19.07.2025,10.60621,3.5354,10.60621
20.07.2025,10.18641,3.39547,10.18641
21.07.2025,8.04191,2.68064,8.04191
22.07.2025,9.73155,3.24385,9.73155
23.07.2025,13.44839,4.4828,13.44839
24.07.2025,12.73845,4.24615,12.73845
25.07.2025,11.02424,3.67475,11.02424
26.07.2025,10.60609,3.53536,10.60609
27.07.2025,8.02037,2.67346,8.02037
28.07.2025,7.79286,2.59762,7.79286
29.07.2025,9.81971,3.27324,9.81971
30.07.2025,10.91946,3.63982,10.91946
31.07.2025,11.70182,3.90061,11.70182
