Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.03.2024,2.52488,0.84163,2.52488
02.03.2024,6.34526,2.11509,6.34526
03.03.2024,6.29964,2.09988,6.29964
04.03.2024,0.6543,0.2181,0.6543
05.03.2024,2.95522,0.98507,2.95522
06.03.2024,2.43149,0.8105,2.43149
07.03.2024,5.97246,1.99082,5.97246
08.03.2024,7.69708,2.56569,7.69708
09.03.2024,6.67182,2.22394,6.67182
10.03.2024,3.36051,1.12017,3.36051
11.03.2024,6.27252,2.09084,6.27252
12.03.2024,1.47897,0.49299,1.47897
13.03.2024,2.57808,0.85936,2.57808
14.03.2024,8.64275,2.88092,8.64275
15.03.2024,3.32973,1.10991,3.32973
16.03.2024,4.46988,1.48996,4.46988
17.03.2024,6.8921,2.29737,6.8921
18.03.2024,6.07695,2.02565,6.07695
19.03.2024,8.99029,2.99676,8.99029
20.03.2024,9.65644,3.21881,9.65644
21.03.2024,8.00708,2.66903,8.00708
22.03.2024,5.93363,1.97788,5.93363
23.03.2024,7.25535,2.41845,7.25535
24.03.2024,5.41951,1.8065,5.41951
25.03.2024,12.4473,4.1491,12.4473
26.03.2024,10.71635,3.57212,10.71635
27.03.2024,4.45349,1.4845,4.45349
28.03.2024,10.0312,3.34373,10.0312
29.03.2024,3.47458,1.15819,3.47458
30.03.2024,2.8031,0.93437,2.8031
31.03.2024,8.4412,2.81373,8.4412
