Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.01.2024,1.65008,0.55003,1.65008
02.01.2024,0.33739,0.11246,0.33739
03.01.2024,0.80641,0.2688,0.80641
04.01.2024,1.95819,0.65273,1.95819
05.01.2024,1.37653,0.45884,1.37653
06.01.2024,0.43409,0.1447,0.43409
07.01.2024,0.12589,0.04196,0.12589
08.01.2024,0.87856,0.29285,0.87856
09.01.2024,4.44343,1.48114,4.44343
10.01.2024,4.33627,1.44542,4.33627
11.01.2024,4.38539,1.4618,4.38539
12.01.2024,1.18327,0.39442,1.18327
13.01.2024,0.27357,0.09119,0.27357
14.01.2024,1.68484,0.56161,1.68484
15.01.2024,0.15082,0.05027,0.15082
16.01.2024,4.6107,1.5369,4.6107
17.01.2024,0.28096,0.09365,0.28096
18.01.2024,0.00064,0.00021,0.00064
19.01.2024,7e-05,2e-05,7e-05
20.01.2024,0.68212,0.22737,0.68212
21.01.2024,2.73217,0.91072,2.73217
22.01.2024,0.65751,0.21917,0.65751
23.01.2024,2.29146,0.76382,2.29146
24.01.2024,1.08208,0.36069,1.08208
25.01.2024,2.26857,0.75619,2.26857
26.01.2024,0.39314,0.13105,0.39314
27.01.2024,5.49007,1.83002,5.49007
28.01.2024,5.34531,1.78177,5.34531
29.01.2024,4.16774,1.38925,4.16774
30.01.2024,2.6119,0.87063,2.6119
31.01.2024,1.23461,0.41154,1.23461
