Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.07.2023,8.43856,2.81285,8.43856
02.07.2023,12.60014,4.20005,12.60014
03.07.2023,10.82432,3.60811,10.82432
04.07.2023,12.70538,4.23513,12.70538
05.07.2023,15.98392,5.32797,15.98392
06.07.2023,14.83482,4.94494,14.83482
07.07.2023,15.12076,5.04025,15.12076
08.07.2023,14.96568,4.98856,14.96568
09.07.2023,12.87346,4.29115,12.87346
10.07.2023,13.57405,4.52468,13.57405
11.07.2023,13.59713,4.53238,13.59713
12.07.2023,12.76228,4.25409,12.76228
13.07.2023,11.51444,3.83815,11.51444
14.07.2023,12.94616,4.31539,12.94616
15.07.2023,7.68372,2.56124,7.68372
16.07.2023,15.16573,5.05524,15.16573
17.07.2023,14.92602,4.97534,14.92602
18.07.2023,13.07631,4.35877,13.07631
19.07.2023,9.83821,3.2794,9.83821
20.07.2023,14.0481,4.6827,14.0481
21.07.2023,6.87079,2.29026,6.87079
22.07.2023,11.3027,3.76757,11.3027
23.07.2023,10.91767,3.63922,10.91767
24.07.2023,8.67578,2.89193,8.67578
25.07.2023,4.47956,1.49318,4.47956
26.07.2023,11.08738,3.69579,11.08738
27.07.2023,4.6173,1.5391,4.6173
28.07.2023,4.81882,1.60627,4.81882
29.07.2023,10.8816,3.6272,10.8816
30.07.2023,10.40555,3.46852,10.40555
31.07.2023,8.88197,2.96066,8.88197
