Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.05.2024,12.69293,4.23098,12.69293
02.05.2024,9.19314,3.06438,9.19314
03.05.2024,7.50536,2.50179,7.50536
04.05.2024,11.45223,3.81741,11.45223
05.05.2024,7.97312,2.65771,7.97312
06.05.2024,4.96815,1.65605,4.96815
07.05.2024,4.2037,1.40124,4.2037
08.05.2024,7.24533,2.41511,7.24533
09.05.2024,16.01389,5.33796,16.01389
10.05.2024,15.12417,5.04139,15.12417
11.05.2024,15.40463,5.13488,15.40463
12.05.2024,14.89377,4.96459,14.89377
13.05.2024,11.04203,3.68068,11.04203
14.05.2024,15.13559,5.0452,15.13559
15.05.2024,7.06571,2.35524,7.06571
16.05.2024,10.34928,3.44976,10.34928
17.05.2024,1.42067,0.47356,1.42067
18.05.2024,10.09777,3.36592,10.09777
19.05.2024,7.43287,2.47762,7.43287
20.05.2024,15.71414,5.23805,15.71414
21.05.2024,3.16944,1.05648,3.16944
22.05.2024,11.9119,3.97063,11.9119
23.05.2024,9.43042,3.14347,9.43042
24.05.2024,11.76723,3.92241,11.76723
25.05.2024,15.54461,5.18154,15.54461
26.05.2024,10.7699,3.58997,10.7699
27.05.2024,11.36709,3.78903,11.36709
28.05.2024,11.91239,3.9708,11.91239
29.05.2024,7.28334,2.42778,7.28334
30.05.2024,12.8336,4.27787,12.8336
31.05.2024,4.43542,1.47847,4.43542
