Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.10.2024,5.72195,1.90732,5.72195
02.10.2024,6.7416,2.2472,6.7416
03.10.2024,3.33872,1.11291,3.33872
04.10.2024,3.2642,1.08807,3.2642
05.10.2024,4.398,1.466,4.398
06.10.2024,6.69829,2.23276,6.69829
07.10.2024,2.57356,0.85785,2.57356
08.10.2024,0.86527,0.28842,0.86527
09.10.2024,2.32035,0.77345,2.32035
10.10.2024,2.37439,0.79146,2.37439
11.10.2024,6.59769,2.19923,6.59769
12.10.2024,4.90846,1.63615,4.90846
13.10.2024,6.83628,2.27876,6.83628
14.10.2024,1.8468,0.6156,1.8468
15.10.2024,2.08996,0.69665,2.08996
16.10.2024,3.21902,1.07301,3.21902
17.10.2024,3.95015,1.31672,3.95015
18.10.2024,1.23485,0.41162,1.23485
19.10.2024,3.15378,1.05126,3.15378
20.10.2024,1.73403,0.57801,1.73403
21.10.2024,3.34526,1.11509,3.34526
22.10.2024,2.38208,0.79403,2.38208
23.10.2024,6.94311,2.31437,6.94311
24.10.2024,1.51254,0.50418,1.51254
25.10.2024,6.5881,2.19603,6.5881
26.10.2024,2.8803,0.9601,2.8803
27.10.2024,5.80481,1.93494,5.80481
28.10.2024,5.72948,1.90983,5.72948
29.10.2024,5.30823,1.76941,5.30823
30.10.2024,1.39612,0.46537,1.39612
31.10.2024,0.56536,0.18845,0.56536
