Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.01.2025,2.98462,0.99487,2.98462
02.01.2025,0.01243,0.00414,0.01243
03.01.2025,2.33128,0.77709,2.33128
04.01.2025,2.16046,0.72015,2.16046
05.01.2025,0.48736,0.16245,0.48736
06.01.2025,1.98554,0.66185,1.98554
07.01.2025,4.13208,1.37736,4.13208
08.01.2025,0.25478,0.08493,0.25478
09.01.2025,0.64269,0.21423,0.64269
10.01.2025,2.54521,0.8484,2.54521
11.01.2025,1.77121,0.5904,1.77121
12.01.2025,2.49035,0.83012,2.49035
13.01.2025,1.73334,0.57778,1.73334
14.01.2025,4.71883,1.57294,4.71883
15.01.2025,0.8216,0.27387,0.8216
16.01.2025,2.0645,0.68817,2.0645
17.01.2025,0.49275,0.16425,0.49275
18.01.2025,2.15326,0.71776,2.15326
19.01.2025,3.72415,1.24138,3.72415
20.01.2025,0.70037,0.23346,0.70037
21.01.2025,0.44908,0.14969,0.44908
22.01.2025,1.10103,0.36701,1.10103
23.01.2025,0.59732,0.19911,0.59732
24.01.2025,1.89032,0.63011,1.89032
25.01.2025,3.81094,1.27031,3.81094
26.01.2025,3.39843,1.13281,3.39843
27.01.2025,1.21404,0.40468,1.21404
28.01.2025,2.52935,0.84312,2.52935
29.01.2025,2.84912,0.94971,2.84912
30.01.2025,3.13009,1.04336,3.13009
31.01.2025,3.79383,1.26461,3.79383
