Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-04-01 00:00:00,2.60979,0.86993,2.60979
2022-04-02 00:00:00,3.49655,1.16552,3.49655
2022-04-03 00:00:00,8.96316,2.98772,8.96316
2022-04-04 00:00:00,12.2233,4.07443,12.2233
2022-04-05 00:00:00,3.04454,1.01485,3.04454
2022-04-06 00:00:00,10.46617,3.48872,10.46617
2022-04-07 00:00:00,5.5939,1.86463,5.5939
2022-04-08 00:00:00,1.78655,0.59552,1.78655
2022-04-09 00:00:00,14.39856,4.79952,14.39856
2022-04-10 00:00:00,8.55121,2.8504,8.55121
2022-04-11 00:00:00,14.95491,4.98497,14.95491
2022-04-12 00:00:00,13.42775,4.47592,13.42775
2022-04-13 00:00:00,13.07745,4.35915,13.07745
2022-04-14 00:00:00,11.72413,3.90804,11.72413
2022-04-15 00:00:00,13.68919,4.56306,13.68919
2022-04-16 00:00:00,15.21679,5.07226,15.21679
2022-04-17 00:00:00,15.80615,5.26872,15.80615
2022-04-18 00:00:00,15.6651,5.2217,15.6651
2022-04-19 00:00:00,15.18926,5.06309,15.18926
2022-04-20 00:00:00,15.94207,5.31402,15.94207
2022-04-21 00:00:00,12.09888,4.03296,12.09888
2022-04-22 00:00:00,14.28978,4.76326,14.28978
2022-04-23 00:00:00,8.50592,2.83531,8.50592
2022-04-24 00:00:00,1.45233,0.48411,1.45233
2022-04-25 00:00:00,8.17758,2.72586,8.17758
2022-04-26 00:00:00,4.85428,1.61809,4.85428
2022-04-27 00:00:00,12.47012,4.15671,12.47012
2022-04-28 00:00:00,16.28372,5.42791,16.28372
2022-04-29 00:00:00,12.32074,4.10691,12.32074
2022-04-30 00:00:00,3.85948,1.28649,3.85948
