Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.08.2024,5.79114,1.93038,5.79114
02.08.2024,12.07382,4.02461,12.07382
03.08.2024,10.20494,3.40165,10.20494
04.08.2024,7.9098,2.6366,7.9098
05.08.2024,13.92356,4.64119,13.92356
06.08.2024,13.58134,4.52711,13.58134
07.08.2024,10.82459,3.6082,10.82459
08.08.2024,9.65399,3.218,9.65399
09.08.2024,12.40784,4.13594,12.40784
10.08.2024,13.77886,4.59295,13.77886
11.08.2024,13.85989,4.61996,13.85989
12.08.2024,9.9718,3.32393,9.9718
13.08.2024,12.60685,4.20228,12.60685
14.08.2024,12.30726,4.10242,12.30726
15.08.2024,13.55094,4.51698,13.55094
16.08.2024,13.779,4.593,13.779
17.08.2024,12.00731,4.00244,12.00731
18.08.2024,3.31541,1.10514,3.31541
19.08.2024,13.00719,4.33573,13.00719
20.08.2024,7.93545,2.64515,7.93545
21.08.2024,13.38879,4.46293,13.38879
22.08.2024,14.32291,4.7743,14.32291
23.08.2024,13.67972,4.55991,13.67972
24.08.2024,12.63387,4.21129,12.63387
25.08.2024,12.26526,4.08842,12.26526
26.08.2024,13.91429,4.6381,13.91429
27.08.2024,13.39639,4.46546,13.39639
28.08.2024,13.03731,4.34577,13.03731
29.08.2024,12.38358,4.12786,12.38358
30.08.2024,11.41647,3.80549,11.41647
31.08.2024,11.82915,3.94305,11.82915
