Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
2022-09-01 00:00:00,9.99767,3.33256,9.99767
2022-09-02 00:00:00,13.59218,4.53072,13.59218
2022-09-03 00:00:00,6.74634,2.24878,6.74634
2022-09-04 00:00:00,13.50167,4.50056,13.50167
2022-09-05 00:00:00,13.00206,4.33402,13.00206
2022-09-06 00:00:00,12.75149,4.2505,12.75149
2022-09-07 00:00:00,11.17188,3.72396,11.17188
2022-09-08 00:00:00,7.87598,2.62533,7.87598
2022-09-09 00:00:00,8.52908,2.84303,8.52908
2022-09-10 00:00:00,6.31822,2.10607,6.31822
2022-09-11 00:00:00,7.5089,2.50297,7.5089
2022-09-12 00:00:00,12.44755,4.14918,12.44755
2022-09-13 00:00:00,7.92342,2.64114,7.92342
2022-09-14 00:00:00,5.35839,1.78613,5.35839
2022-09-15 00:00:00,4.59895,1.53298,4.59895
2022-09-16 00:00:00,6.99349,2.33116,6.99349
2022-09-17 00:00:00,6.81468,2.27156,6.81468
2022-09-18 00:00:00,5.0965,1.69883,5.0965
2022-09-19 00:00:00,6.93888,2.31296,6.93888
2022-09-20 00:00:00,8.09014,2.69671,8.09014
2022-09-21 00:00:00,11.08766,3.69589,11.08766
2022-09-22 00:00:00,12.17824,4.05941,12.17824
2022-09-23 00:00:00,9.23025,3.07675,9.23025
2022-09-24 00:00:00,5.78087,1.92696,5.78087
2022-09-25 00:00:00,3.81191,1.27064,3.81191
2022-09-26 00:00:00,5.28463,1.76154,5.28463
2022-09-27 00:00:00,5.21549,1.7385,5.21549
2022-09-28 00:00:00,5.5374,1.8458,5.5374
2022-09-29 00:00:00,4.93338,1.64446,4.93338
2022-09-30 00:00:00,10.05362,3.35121,10.05362
