Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.04.2025,7.73101,2.577,7.73101
02.04.2025,12.17497,4.05832,12.17497
03.04.2025,12.13621,4.0454,12.13621
04.04.2025,12.23768,4.07923,12.23768
05.04.2025,10.85198,3.61733,10.85198
06.04.2025,13.53253,4.51084,13.53253
07.04.2025,13.29558,4.43186,13.29558
08.04.2025,12.43829,4.1461,12.43829
09.04.2025,12.75285,4.25095,12.75285
10.04.2025,13.0417,4.34723,13.0417
11.04.2025,12.87267,4.29089,12.87267
12.04.2025,12.71321,4.23774,12.71321
13.04.2025,8.73495,2.91165,8.73495
14.04.2025,8.2818,2.7606,8.2818
15.04.2025,5.54336,1.84779,5.54336
16.04.2025,5.32419,1.77473,5.32419
17.04.2025,1.16581,0.3886,1.16581
18.04.2025,1.67875,0.55958,1.67875
19.04.2025,11.05492,3.68497,11.05492
20.04.2025,9.92069,3.3069,9.92069
21.04.2025,6.23452,2.07817,6.23452
22.04.2025,12.39969,4.13323,12.39969
23.04.2025,8.76637,2.92212,8.76637
24.04.2025,8.07452,2.69151,8.07452
25.04.2025,4.8765,1.6255,4.8765
26.04.2025,6.12732,2.04244,6.12732
27.04.2025,14.1238,4.70793,14.1238
28.04.2025,13.81209,4.60403,13.81209
29.04.2025,13.69737,4.56579,13.69737
30.04.2025,13.64548,4.54849,13.64548
